assessment_id,site_id,conducted_by_person_id,assessment_date,assessment_period,overall_risk_score,findings_summary,num_hazards_identified,num_actions_created,status
11,1,2,2025-03-06,H1_2025,61,Assessment of Te Kura o Te Kao identified high overall risk level. Primary concerns are playground equipment wear particularly affecting administration building. Emergency procedures were reviewed and found to be requiring update. 2 actions created.,2,2,COMPLETED
12,2,8,2020-03-26,H1_2020,34,Assessment of Taipa Area School identified medium overall risk level. Primary concerns are playground equipment wear particularly affecting administration building. Emergency procedures were reviewed and found to be satisfactory. 5 actions created.,4,5,COMPLETED
13,2,5,2020-09-07,H2_2020,47,Comprehensive risk assessment completed for Taipa Area School. 4 new hazards identified and 1 existing hazards reviewed. Key findings include: standing water near entrance pathway; worn anti-slip tape on steps. 2 corrective actions have been raised.,4,2,COMPLETED
14,2,7,2021-03-19,H1_2021,81,Assessment of Taipa Area School identified critical overall risk level. Primary concerns are electrical systems particularly affecting the main block. Emergency procedures were reviewed and found to be satisfactory. 0 actions created.,0,0,COMPLETED
15,2,5,2021-09-15,H2_2021,56,Site inspection revealed generally satisfactory conditions with 0 hazards identified. Main concerns relate to roof condition. Overall risk posture is medium. Recommend follow-up on chemical storage within the next term.,0,0,COMPLETED
16,2,5,2022-03-17,H1_2022,76,Comprehensive risk assessment completed for Taipa Area School. 3 new hazards identified and 3 existing hazards reviewed. Key findings include: blocked emergency exit in hall; trip hazard from raised concrete. 2 corrective actions have been raised.,3,2,COMPLETED
17,2,6,2022-09-08,H2_2022,30,Risk assessment findings: Taipa Area School presents medium risk environment. Critical items include standing water near entrance pathway. Moderate items include missing fire extinguisher sign. 0 actions assigned with 2 marked as critical priority.,0,0,COMPLETED
18,2,6,2023-03-06,H1_2023,61,Assessment of Taipa Area School identified high overall risk level. Primary concerns are roof condition particularly affecting the sports facilities. Emergency procedures were reviewed and found to be satisfactory. 0 actions created.,1,0,COMPLETED
19,2,7,2023-09-21,H2_2023,58,Risk assessment findings: Taipa Area School presents medium risk environment. Critical items include missing fire extinguisher sign. Moderate items include inadequate lighting in car park. 0 actions assigned with 0 marked as critical priority.,1,0,COMPLETED
20,2,8,2024-03-13,H1_2024,59,Assessment of Taipa Area School identified medium overall risk level. Primary concerns are aging infrastructure particularly affecting outdoor areas. Emergency procedures were reviewed and found to be satisfactory. 1 actions created.,2,1,COMPLETED
21,2,5,2024-09-12,H2_2024,10,Assessment of Taipa Area School identified low overall risk level. Primary concerns are electrical systems particularly affecting outdoor areas. Emergency procedures were reviewed and found to be satisfactory. 0 actions created.,3,0,COMPLETED
22,2,5,2025-03-23,H1_2025,87,Routine H1/H2 assessment for Taipa Area School conducted on the assessment date. Building condition assessments reviewed for all 7 structures. 1 hazards requiring attention identified. Notable improvement in emergency signage since last assessment.,1,0,REVIEWED
23,3,10,2020-03-23,H1_2020,61,Comprehensive risk assessment completed for Kaitaia College. 2 new hazards identified and 7 existing hazards reviewed. Key findings include: mould visible on ceiling tiles; standing water near entrance pathway. 2 corrective actions have been raised.,2,2,COMPLETED
24,3,9,2020-09-07,H2_2020,21,Comprehensive risk assessment completed for Kaitaia College. 4 new hazards identified and 6 existing hazards reviewed. Key findings include: tree branch overhanging walkway; tree branch overhanging walkway. 5 corrective actions have been raised.,4,5,COMPLETED
25,3,9,2021-03-14,H1_2021,17,Comprehensive risk assessment completed for Kaitaia College. 4 new hazards identified and 1 existing hazards reviewed. Key findings include: worn anti-slip tape on steps; bird nesting in roof cavity. 1 corrective actions have been raised.,4,1,COMPLETED
26,3,11,2021-09-26,H2_2021,77,Comprehensive risk assessment completed for Kaitaia College. 4 new hazards identified and 3 existing hazards reviewed. Key findings include: cracked window pane in classroom; trip hazard from raised concrete. 1 corrective actions have been raised.,4,1,COMPLETED
27,3,11,2022-03-08,H1_2022,26,Comprehensive risk assessment completed for Kaitaia College. 0 new hazards identified and 5 existing hazards reviewed. Key findings include: cluttered storage room blocking access; blocked emergency exit in hall. 1 corrective actions have been raised.,0,1,COMPLETED
28,3,10,2022-09-14,H2_2022,27,Assessment of Kaitaia College identified low overall risk level. Primary concerns are asbestos-containing materials particularly affecting the main block. Emergency procedures were reviewed and found to be requiring update. 1 actions created.,0,1,COMPLETED
29,3,9,2023-03-03,H1_2023,43,Risk assessment findings: Kaitaia College presents medium risk environment. Critical items include missing fire extinguisher sign. Moderate items include cracked window pane in classroom. 1 actions assigned with 0 marked as critical priority.,1,1,COMPLETED
30,3,10,2023-09-27,H2_2023,65,Comprehensive risk assessment completed for Kaitaia College. 1 new hazards identified and 1 existing hazards reviewed. Key findings include: missing fire extinguisher sign; damaged fencing along south boundary. 0 corrective actions have been raised.,1,0,COMPLETED
31,3,11,2024-03-04,H1_2024,31,Routine H1/H2 assessment for Kaitaia College conducted on the assessment date. Building condition assessments reviewed for all 11 structures. 3 hazards requiring attention identified. Notable improvement in emergency signage since last assessment.,3,4,COMPLETED
32,3,10,2024-09-24,H2_2024,50,Site inspection revealed generally satisfactory conditions with 1 hazards identified. Main concerns relate to chemical storage. Overall risk posture is medium. Recommend follow-up on chemical storage within 30 days.,1,1,COMPLETED
33,3,10,2025-03-21,H1_2025,55,Routine H1/H2 assessment for Kaitaia College conducted on the assessment date. Building condition assessments reviewed for all 5 structures. 3 hazards requiring attention identified. Notable improvement in first aid supplies since last assessment.,3,4,COMPLETED
34,4,14,2020-03-27,H1_2020,36,Routine H1/H2 assessment for Whangaroa College conducted on the assessment date. Building condition assessments reviewed for all 5 structures. 4 hazards requiring attention identified. Notable improvement in first aid supplies since last assessment.,4,2,COMPLETED
35,4,13,2020-09-10,H2_2020,88,Site inspection revealed generally satisfactory conditions with 2 hazards identified. Main concerns relate to traffic management. Overall risk posture is critical. Recommend follow-up on electrical systems within the next term.,2,2,COMPLETED
36,4,14,2021-03-21,H1_2021,70,Site inspection revealed generally satisfactory conditions with 2 hazards identified. Main concerns relate to contractor oversight. Overall risk posture is high. Recommend follow-up on playground equipment wear within the next term.,2,2,COMPLETED
37,4,14,2021-09-12,H2_2021,85,Risk assessment findings: Whangaroa College presents critical risk environment. Critical items include cluttered storage room blocking access. Moderate items include standing water near entrance pathway. 3 actions assigned with 1 marked as critical priority.,2,3,COMPLETED
38,4,14,2022-03-19,H1_2022,16,Comprehensive risk assessment completed for Whangaroa College. 1 new hazards identified and 6 existing hazards reviewed. Key findings include: mould visible on ceiling tiles; tree branch overhanging walkway. 2 corrective actions have been raised.,1,2,COMPLETED
39,4,14,2022-09-07,H2_2022,12,Risk assessment findings: Whangaroa College presents low risk environment. Critical items include peeling paint near food prep area. Moderate items include peeling paint near food prep area. 3 actions assigned with 0 marked as critical priority.,3,3,COMPLETED
40,4,14,2023-03-11,H1_2023,23,Comprehensive risk assessment completed for Whangaroa College. 3 new hazards identified and 6 existing hazards reviewed. Key findings include: bird nesting in roof cavity; missing fire extinguisher sign. 3 corrective actions have been raised.,3,3,COMPLETED
41,4,13,2023-09-07,H2_2023,38,Assessment of Whangaroa College identified medium overall risk level. Primary concerns are aging infrastructure particularly affecting the sports facilities. Emergency procedures were reviewed and found to be satisfactory. 2 actions created.,4,2,COMPLETED
42,4,14,2024-03-05,H1_2024,84,Risk assessment findings: Whangaroa College presents critical risk environment. Critical items include trip hazard from raised concrete. Moderate items include uneven surface on playground. 1 actions assigned with 1 marked as critical priority.,0,1,COMPLETED
43,4,12,2024-09-20,H2_2024,56,Routine H1/H2 assessment for Whangaroa College conducted on the assessment date. Building condition assessments reviewed for all 9 structures. 0 hazards requiring attention identified. Notable improvement in stairwell lighting since last assessment.,0,1,COMPLETED
44,4,14,2025-03-14,H1_2025,80,Comprehensive risk assessment completed for Whangaroa College. 4 new hazards identified and 1 existing hazards reviewed. Key findings include: worn anti-slip tape on steps; loose railing on Block A stairwell. 5 corrective actions have been raised.,4,5,REVIEWED
45,5,17,2020-03-23,H1_2020,36,Comprehensive risk assessment completed for Kerikeri High School. 2 new hazards identified and 1 existing hazards reviewed. Key findings include: loose railing on Block A stairwell; standing water near entrance pathway. 2 corrective actions have been raised.,2,2,COMPLETED
46,5,16,2020-09-03,H2_2020,14,Routine H1/H2 assessment for Kerikeri High School conducted on the assessment date. Building condition assessments reviewed for all 5 structures. 4 hazards requiring attention identified. Notable improvement in car park markings since last assessment.,4,2,COMPLETED
47,5,15,2021-03-18,H1_2021,89,Risk assessment findings: Kerikeri High School presents critical risk environment. Critical items include uneven surface on playground. Moderate items include missing fire extinguisher sign. 3 actions assigned with 1 marked as critical priority.,3,3,COMPLETED
48,5,16,2021-09-24,H2_2021,58,Risk assessment findings: Kerikeri High School presents medium risk environment. Critical items include peeling paint near food prep area. Moderate items include uneven surface on playground. 1 actions assigned with 1 marked as critical priority.,2,1,COMPLETED
49,5,17,2022-03-25,H1_2022,40,Risk assessment findings: Kerikeri High School presents medium risk environment. Critical items include peeling paint near food prep area. Moderate items include standing water near entrance pathway. 0 actions assigned with 0 marked as critical priority.,3,0,COMPLETED
50,5,15,2022-09-05,H2_2022,88,Comprehensive risk assessment completed for Kerikeri High School. 3 new hazards identified and 6 existing hazards reviewed. Key findings include: missing fire extinguisher sign; cracked window pane in classroom. 4 corrective actions have been raised.,3,4,COMPLETED
51,5,16,2023-03-14,H1_2023,77,Site inspection revealed generally satisfactory conditions with 1 hazards identified. Main concerns relate to roof condition. Overall risk posture is high. Recommend follow-up on asbestos-containing materials within 14 days.,1,2,COMPLETED
52,5,16,2023-09-25,H2_2023,50,Site inspection revealed generally satisfactory conditions with 3 hazards identified. Main concerns relate to roof condition. Overall risk posture is medium. Recommend follow-up on contractor oversight within 60 days.,3,4,COMPLETED
53,5,15,2024-03-14,H1_2024,66,Site inspection revealed generally satisfactory conditions with 0 hazards identified. Main concerns relate to roof condition. Overall risk posture is high. Recommend follow-up on asbestos-containing materials within 14 days.,0,1,COMPLETED
54,5,16,2024-09-16,H2_2024,27,Site inspection revealed generally satisfactory conditions with 2 hazards identified. Main concerns relate to asbestos-containing materials. Overall risk posture is low. Recommend follow-up on contractor oversight within 60 days.,2,2,COMPLETED
55,5,16,2025-03-24,H1_2025,76,Site inspection revealed generally satisfactory conditions with 3 hazards identified. Main concerns relate to tree management. Overall risk posture is high. Recommend follow-up on slip hazards during winter within the next term.,3,2,COMPLETED
56,6,19,2020-03-07,H1_2020,44,Assessment of Broadwood Area School identified medium overall risk level. Primary concerns are electrical systems particularly affecting administration building. Emergency procedures were reviewed and found to be adequate. 5 actions created.,4,5,COMPLETED
57,6,20,2020-09-22,H2_2020,70,Routine H1/H2 assessment for Broadwood Area School conducted on the assessment date. Building condition assessments reviewed for all 7 structures. 2 hazards requiring attention identified. Notable improvement in first aid supplies since last assessment.,2,2,COMPLETED
58,6,19,2021-03-03,H1_2021,77,Risk assessment findings: Broadwood Area School presents high risk environment. Critical items include missing fire extinguisher sign. Moderate items include loose railing on Block A stairwell. 0 actions assigned with 1 marked as critical priority.,0,0,COMPLETED
59,6,20,2021-09-09,H2_2021,22,Comprehensive risk assessment completed for Broadwood Area School. 1 new hazards identified and 3 existing hazards reviewed. Key findings include: inadequate lighting in car park; uneven surface on playground. 0 corrective actions have been raised.,1,0,COMPLETED
60,6,19,2022-03-14,H1_2022,31,Site inspection revealed generally satisfactory conditions with 1 hazards identified. Main concerns relate to aging infrastructure. Overall risk posture is medium. Recommend follow-up on playground equipment wear within the next term.,1,2,COMPLETED
61,6,21,2022-09-01,H2_2022,82,Assessment of Broadwood Area School identified critical overall risk level. Primary concerns are tree management particularly affecting administration building. Emergency procedures were reviewed and found to be requiring update. 0 actions created.,1,0,COMPLETED
62,6,18,2023-03-09,H1_2023,39,Comprehensive risk assessment completed for Broadwood Area School. 0 new hazards identified and 3 existing hazards reviewed. Key findings include: peeling paint near food prep area; worn anti-slip tape on steps. 1 corrective actions have been raised.,0,1,COMPLETED
63,6,21,2023-09-20,H2_2023,76,Site inspection revealed generally satisfactory conditions with 2 hazards identified. Main concerns relate to chemical storage. Overall risk posture is high. Recommend follow-up on contractor oversight within 60 days.,2,3,COMPLETED
64,6,18,2024-03-19,H1_2024,69,Risk assessment findings: Broadwood Area School presents high risk environment. Critical items include uneven surface on playground. Moderate items include worn anti-slip tape on steps. 1 actions assigned with 2 marked as critical priority.,2,1,COMPLETED
65,6,19,2024-09-19,H2_2024,71,Risk assessment findings: Broadwood Area School presents high risk environment. Critical items include worn anti-slip tape on steps. Moderate items include standing water near entrance pathway. 1 actions assigned with 0 marked as critical priority.,0,1,COMPLETED
66,6,19,2025-03-16,H1_2025,69,Risk assessment findings: Broadwood Area School presents high risk environment. Critical items include trip hazard from raised concrete. Moderate items include peeling paint near food prep area. 3 actions assigned with 2 marked as critical priority.,2,3,REVIEWED
67,7,22,2020-03-20,H1_2020,75,Comprehensive risk assessment completed for Okaihau College. 4 new hazards identified and 5 existing hazards reviewed. Key findings include: loose railing on Block A stairwell; loose railing on Block A stairwell. 0 corrective actions have been raised.,4,0,COMPLETED
68,7,23,2020-09-01,H2_2020,84,Comprehensive risk assessment completed for Okaihau College. 4 new hazards identified and 3 existing hazards reviewed. Key findings include: trip hazard from raised concrete; uneven surface on playground. 1 corrective actions have been raised.,4,1,COMPLETED
69,7,22,2021-03-10,H1_2021,67,Risk assessment findings: Okaihau College presents high risk environment. Critical items include cluttered storage room blocking access. Moderate items include trip hazard from raised concrete. 3 actions assigned with 0 marked as critical priority.,3,3,COMPLETED
70,7,23,2021-09-23,H2_2021,68,Site inspection revealed generally satisfactory conditions with 0 hazards identified. Main concerns relate to electrical systems. Overall risk posture is high. Recommend follow-up on slip hazards during winter within 14 days.,0,1,COMPLETED
71,7,22,2022-03-04,H1_2022,88,Risk assessment findings: Okaihau College presents critical risk environment. Critical items include trip hazard from raised concrete. Moderate items include missing fire extinguisher sign. 2 actions assigned with 2 marked as critical priority.,2,2,COMPLETED
72,7,22,2022-09-10,H2_2022,66,Assessment of Okaihau College identified high overall risk level. Primary concerns are electrical systems particularly affecting outdoor areas. Emergency procedures were reviewed and found to be adequate. 3 actions created.,2,3,COMPLETED
73,7,22,2023-03-13,H1_2023,20,Routine H1/H2 assessment for Okaihau College conducted on the assessment date. Building condition assessments reviewed for all 3 structures. 2 hazards requiring attention identified. Notable improvement in chemical storage since last assessment.,2,2,COMPLETED
74,7,23,2023-09-17,H2_2023,81,Assessment of Okaihau College identified critical overall risk level. Primary concerns are roof condition particularly affecting the sports facilities. Emergency procedures were reviewed and found to be adequate. 1 actions created.,3,1,COMPLETED
75,7,24,2024-03-24,H1_2024,35,Site inspection revealed generally satisfactory conditions with 4 hazards identified. Main concerns relate to contractor oversight. Overall risk posture is medium. Recommend follow-up on chemical storage within the next term.,4,4,COMPLETED
76,7,22,2024-09-22,H2_2024,38,Site inspection revealed generally satisfactory conditions with 2 hazards identified. Main concerns relate to contractor oversight. Overall risk posture is medium. Recommend follow-up on electrical systems within the next term.,2,1,COMPLETED
77,7,24,2025-03-21,H1_2025,80,Assessment of Okaihau College identified critical overall risk level. Primary concerns are chemical storage particularly affecting the sports facilities. Emergency procedures were reviewed and found to be adequate. 1 actions created.,2,1,COMPLETED
78,8,26,2020-03-18,H1_2020,20,Routine H1/H2 assessment for Bay of Islands College conducted on the assessment date. Building condition assessments reviewed for all 10 structures. 0 hazards requiring attention identified. Notable improvement in car park markings since last assessment.,0,0,COMPLETED
79,8,26,2020-09-14,H2_2020,53,Risk assessment findings: Bay of Islands College presents medium risk environment. Critical items include loose railing on Block A stairwell. Moderate items include trip hazard from raised concrete. 3 actions assigned with 1 marked as critical priority.,2,3,COMPLETED
80,8,27,2021-03-17,H1_2021,14,Comprehensive risk assessment completed for Bay of Islands College. 3 new hazards identified and 6 existing hazards reviewed. Key findings include: uneven surface on playground; bird nesting in roof cavity. 4 corrective actions have been raised.,3,4,COMPLETED
81,8,27,2021-09-19,H2_2021,77,Risk assessment findings: Bay of Islands College presents high risk environment. Critical items include inadequate lighting in car park. Moderate items include uneven surface on playground. 1 actions assigned with 1 marked as critical priority.,1,1,COMPLETED
82,8,26,2022-03-22,H1_2022,38,Routine H1/H2 assessment for Bay of Islands College conducted on the assessment date. Building condition assessments reviewed for all 8 structures. 0 hazards requiring attention identified. Notable improvement in emergency signage since last assessment.,0,0,COMPLETED
83,8,25,2022-09-17,H2_2022,51,Site inspection revealed generally satisfactory conditions with 3 hazards identified. Main concerns relate to contractor oversight. Overall risk posture is medium. Recommend follow-up on tree management within the next term.,3,3,COMPLETED
84,8,26,2023-03-18,H1_2023,32,Comprehensive risk assessment completed for Bay of Islands College. 0 new hazards identified and 6 existing hazards reviewed. Key findings include: standing water near entrance pathway; standing water near entrance pathway. 1 corrective actions have been raised.,0,1,COMPLETED
85,8,27,2023-09-24,H2_2023,38,Assessment of Bay of Islands College identified medium overall risk level. Primary concerns are playground equipment wear particularly affecting administration building. Emergency procedures were reviewed and found to be requiring update. 2 actions created.,1,2,COMPLETED
86,8,26,2024-03-16,H1_2024,18,Risk assessment findings: Bay of Islands College presents low risk environment. Critical items include inadequate lighting in car park. Moderate items include standing water near entrance pathway. 1 actions assigned with 2 marked as critical priority.,1,1,COMPLETED
87,8,26,2024-09-24,H2_2024,76,Risk assessment findings: Bay of Islands College presents high risk environment. Critical items include uneven surface on playground. Moderate items include loose railing on Block A stairwell. 1 actions assigned with 2 marked as critical priority.,4,1,COMPLETED
88,8,27,2025-03-23,H1_2025,63,Assessment of Bay of Islands College identified high overall risk level. Primary concerns are tree management particularly affecting the main block. Emergency procedures were reviewed and found to be adequate. 1 actions created.,4,1,COMPLETED
89,9,28,2020-03-24,H1_2020,86,Routine H1/H2 assessment for Northland College conducted on the assessment date. Building condition assessments reviewed for all 7 structures. 4 hazards requiring attention identified. Notable improvement in playground area maintenance since last assessment.,4,3,COMPLETED
90,9,31,2020-09-14,H2_2020,42,Assessment of Northland College identified medium overall risk level. Primary concerns are aging infrastructure particularly affecting outdoor areas. Emergency procedures were reviewed and found to be adequate. 0 actions created.,3,0,COMPLETED
91,9,30,2021-03-16,H1_2021,29,Site inspection revealed generally satisfactory conditions with 1 hazards identified. Main concerns relate to slip hazards during winter. Overall risk posture is low. Recommend follow-up on electrical systems within 60 days.,1,0,COMPLETED
92,9,31,2021-09-08,H2_2021,10,Risk assessment findings: Northland College presents low risk environment. Critical items include worn anti-slip tape on steps. Moderate items include tree branch overhanging walkway. 0 actions assigned with 1 marked as critical priority.,3,0,COMPLETED
93,9,31,2022-03-08,H1_2022,81,Assessment of Northland College identified critical overall risk level. Primary concerns are chemical storage particularly affecting the sports facilities. Emergency procedures were reviewed and found to be adequate. 1 actions created.,1,1,COMPLETED
94,9,29,2022-09-26,H2_2022,59,Risk assessment findings: Northland College presents medium risk environment. Critical items include missing fire extinguisher sign. Moderate items include blocked emergency exit in hall. 0 actions assigned with 1 marked as critical priority.,0,0,COMPLETED
95,9,29,2023-03-20,H1_2023,60,Comprehensive risk assessment completed for Northland College. 0 new hazards identified and 6 existing hazards reviewed. Key findings include: missing fire extinguisher sign; cracked window pane in classroom. 0 corrective actions have been raised.,0,0,COMPLETED
96,9,30,2023-09-11,H2_2023,79,Site inspection revealed generally satisfactory conditions with 3 hazards identified. Main concerns relate to electrical systems. Overall risk posture is high. Recommend follow-up on electrical systems within the next term.,3,3,COMPLETED
97,9,28,2024-03-01,H1_2024,21,Site inspection revealed generally satisfactory conditions with 3 hazards identified. Main concerns relate to asbestos-containing materials. Overall risk posture is low. Recommend follow-up on tree management within the next term.,3,0,COMPLETED
98,9,30,2024-09-01,H2_2024,61,Routine H1/H2 assessment for Northland College conducted on the assessment date. Building condition assessments reviewed for all 10 structures. 1 hazards requiring attention identified. Notable improvement in chemical storage since last assessment.,1,0,COMPLETED
99,9,28,2025-03-17,H1_2025,46,Routine H1/H2 assessment for Northland College conducted on the assessment date. Building condition assessments reviewed for all 3 structures. 2 hazards requiring attention identified. Notable improvement in car park markings since last assessment.,2,3,COMPLETED
100,10,34,2020-03-20,H1_2020,35,Comprehensive risk assessment completed for Te Kura Taumata o Panguru. 2 new hazards identified and 5 existing hazards reviewed. Key findings include: worn anti-slip tape on steps; blocked emergency exit in hall. 0 corrective actions have been raised.,2,0,COMPLETED
101,10,34,2020-09-12,H2_2020,65,Risk assessment findings: Te Kura Taumata o Panguru presents high risk environment. Critical items include cracked window pane in classroom. Moderate items include blocked emergency exit in hall. 0 actions assigned with 0 marked as critical priority.,4,0,COMPLETED
102,10,34,2021-03-21,H1_2021,69,Routine H1/H2 assessment for Te Kura Taumata o Panguru conducted on the assessment date. Building condition assessments reviewed for all 11 structures. 1 hazards requiring attention identified. Notable improvement in stairwell lighting since last assessment.,1,0,COMPLETED
103,10,34,2021-09-21,H2_2021,76,Site inspection revealed generally satisfactory conditions with 1 hazards identified. Main concerns relate to tree management. Overall risk posture is high. Recommend follow-up on chemical storage within the next term.,1,1,COMPLETED
104,10,34,2022-03-15,H1_2022,21,Comprehensive risk assessment completed for Te Kura Taumata o Panguru. 3 new hazards identified and 3 existing hazards reviewed. Key findings include: inadequate lighting in car park; standing water near entrance pathway. 0 corrective actions have been raised.,3,0,COMPLETED
105,10,33,2022-09-24,H2_2022,34,Risk assessment findings: Te Kura Taumata o Panguru presents medium risk environment. Critical items include cracked window pane in classroom. Moderate items include cracked window pane in classroom. 3 actions assigned with 1 marked as critical priority.,3,3,COMPLETED
106,10,32,2023-03-17,H1_2023,50,Assessment of Te Kura Taumata o Panguru identified medium overall risk level. Primary concerns are asbestos-containing materials particularly affecting outdoor areas. Emergency procedures were reviewed and found to be requiring update. 0 actions created.,1,0,COMPLETED
107,10,34,2023-09-18,H2_2023,34,Assessment of Te Kura Taumata o Panguru identified medium overall risk level. Primary concerns are slip hazards during winter particularly affecting the main block. Emergency procedures were reviewed and found to be adequate. 0 actions created.,4,0,COMPLETED
108,10,32,2024-03-20,H1_2024,67,Site inspection revealed generally satisfactory conditions with 4 hazards identified. Main concerns relate to slip hazards during winter. Overall risk posture is high. Recommend follow-up on tree management within 30 days.,4,2,COMPLETED
109,10,34,2024-09-10,H2_2024,57,Site inspection revealed generally satisfactory conditions with 1 hazards identified. Main concerns relate to contractor oversight. Overall risk posture is medium. Recommend follow-up on chemical storage within 14 days.,1,2,COMPLETED
110,10,34,2025-03-27,H1_2025,16,Assessment of Te Kura Taumata o Panguru identified low overall risk level. Primary concerns are playground equipment wear particularly affecting administration building. Emergency procedures were reviewed and found to be requiring update. 1 actions created.,4,1,COMPLETED
111,11,38,2020-03-14,H1_2020,49,Comprehensive risk assessment completed for Opononi Area School. 4 new hazards identified and 4 existing hazards reviewed. Key findings include: bird nesting in roof cavity; tree branch overhanging walkway. 1 corrective actions have been raised.,4,1,COMPLETED
112,11,35,2020-09-07,H2_2020,46,Routine H1/H2 assessment for Opononi Area School conducted on the assessment date. Building condition assessments reviewed for all 8 structures. 0 hazards requiring attention identified. Notable improvement in first aid supplies since last assessment.,0,1,COMPLETED
113,11,37,2021-03-15,H1_2021,70,Routine H1/H2 assessment for Opononi Area School conducted on the assessment date. Building condition assessments reviewed for all 9 structures. 4 hazards requiring attention identified. Notable improvement in car park markings since last assessment.,4,5,COMPLETED
114,11,38,2021-09-05,H2_2021,86,Site inspection revealed generally satisfactory conditions with 4 hazards identified. Main concerns relate to slip hazards during winter. Overall risk posture is critical. Recommend follow-up on electrical systems within the next term.,4,3,COMPLETED
115,11,36,2022-03-01,H1_2022,73,Site inspection revealed generally satisfactory conditions with 2 hazards identified. Main concerns relate to roof condition. Overall risk posture is high. Recommend follow-up on playground equipment wear within 60 days.,2,3,COMPLETED
116,11,35,2022-09-01,H2_2022,53,Assessment of Opononi Area School identified medium overall risk level. Primary concerns are traffic management particularly affecting the main block. Emergency procedures were reviewed and found to be requiring update. 5 actions created.,4,5,COMPLETED
117,11,37,2023-03-24,H1_2023,32,Site inspection revealed generally satisfactory conditions with 1 hazards identified. Main concerns relate to slip hazards during winter. Overall risk posture is medium. Recommend follow-up on asbestos-containing materials within 14 days.,1,1,COMPLETED
118,11,36,2023-09-02,H2_2023,73,Assessment of Opononi Area School identified high overall risk level. Primary concerns are playground equipment wear particularly affecting outdoor areas. Emergency procedures were reviewed and found to be satisfactory. 4 actions created.,3,4,COMPLETED
119,11,38,2024-03-09,H1_2024,42,Risk assessment findings: Opononi Area School presents medium risk environment. Critical items include peeling paint near food prep area. Moderate items include cracked window pane in classroom. 3 actions assigned with 1 marked as critical priority.,4,3,COMPLETED
120,11,35,2024-09-11,H2_2024,65,Comprehensive risk assessment completed for Opononi Area School. 0 new hazards identified and 5 existing hazards reviewed. Key findings include: mould visible on ceiling tiles; peeling paint near food prep area. 0 corrective actions have been raised.,0,0,COMPLETED
121,11,37,2025-03-24,H1_2025,60,Assessment of Opononi Area School identified high overall risk level. Primary concerns are contractor oversight particularly affecting administration building. Emergency procedures were reviewed and found to be requiring update. 1 actions created.,0,1,REVIEWED
122,12,39,2020-03-26,H1_2020,74,Comprehensive risk assessment completed for Tauraroa Area School. 1 new hazards identified and 2 existing hazards reviewed. Key findings include: mould visible on ceiling tiles; inadequate lighting in car park. 1 corrective actions have been raised.,1,1,COMPLETED
123,12,41,2020-09-16,H2_2020,75,Site inspection revealed generally satisfactory conditions with 1 hazards identified. Main concerns relate to aging infrastructure. Overall risk posture is high. Recommend follow-up on aging infrastructure within 14 days.,1,1,COMPLETED
