inspection_id,site_id,conducted_by_person_id,contractor_id,inspection_date,inspection_type,field_notes,compliance_rating,num_hazards_identified,num_actions_created,status
18,2,7,48.0,2023-05-03,CONTRACTOR_AUDIT,Complaint response visit to Taipa Area School regarding unsafe traffic conditions at drop-off. On inspection found uneven surface on playground. standing water near entrance pathway. Spoke with the principal who was aware of the issue. Actions: temporary fix applied. Follow-up required: yes - next routine visit.,COMPLIANT,2,1,COMPLETED
19,2,8,,2023-06-02,ROUTINE,Post-incident inspection at Taipa Area School. Area where incident occurred has been under repair. blocked emergency exit in hall. Interviewed the principal who confirmed that the issue has been ongoing. Root cause appears to be environmental conditions. Immediate controls: temporary repair applied. Further investigation: no - matter resolved.,COMPLIANT,3,3,COMPLETED
20,2,8,137.0,2024-06-01,CONTRACTOR_AUDIT,Contractor audit: Aotearoa Cleaning Solutions NZ on site performing plumbing work. Checked: PPE compliance - partial - no safety glasses observed; site induction records - current; work method statements - provided and adequate. Overall: major non-compliance. Issues noted: PPE not consistently worn.,COMPLIANT,3,0,COMPLETED
21,2,5,,2024-04-08,ROUTINE,Arrived at Taipa Area School at 14:30. Met with the principal who reported a recent near-miss in the workshop. Walked the site starting from the car park. Observed inadequate lighting in car park. Noted standing water near entrance pathway. Block A appears showing signs of wear. Recommend immediate action on high-risk items. Photos taken for record.,MINOR_NON_COMPLIANCE,2,0,COMPLETED
22,2,8,,2024-07-13,ROUTINE,Post-incident inspection at Taipa Area School. Area where incident occurred has been cleaned up. blocked emergency exit in hall. Interviewed the principal who confirmed awareness of the hazard. Root cause appears to be inadequate training. Immediate controls: equipment isolated. Further investigation: no - matter resolved.,MINOR_NON_COMPLIANCE,3,2,COMPLETED
23,3,9,56.0,2020-03-04,CONTRACTOR_AUDIT,Arrived at Kaitaia College at 11:15. Met with the H&S rep who reported a recent near-miss in the workshop. Walked the site starting from the playground. Observed mould visible on ceiling tiles. Noted missing fire extinguisher sign. the library appears satisfactory. Recommend immediate action on high-risk items. Photos taken for record.,MINOR_NON_COMPLIANCE,0,0,COMPLETED
24,3,9,91.0,2020-04-22,CONTRACTOR_AUDIT,Contractor audit: Pinnacle Building Enterprises on site performing HVAC servicing. Checked: PPE compliance - non-compliant - worker on ladder without harness; site induction records - expired - updated on site; work method statements - not available. Overall: minor non-compliance. Issues noted: work area not adequately fenced.,MINOR_NON_COMPLIANCE,1,0,COMPLETED
25,3,10,,2021-11-01,POST_INCIDENT,Routine site walkthrough at Kaitaia College. Checked emergency exits - clear. Fire extinguishers - all current. First aid kits - needs restocking. Signage - faded in places. General housekeeping - poor in storage areas. 0 new hazards logged.,CRITICAL,1,1,COMPLETED
26,3,9,,2021-04-07,ROUTINE,Contractor audit: the contractor on site performing painting. Checked: PPE compliance - compliant with minor exceptions; site induction records - missing for one worker; work method statements - not available. Overall: minor non-compliance. Issues noted: PPE not consistently worn.,COMPLIANT,3,1,COMPLETED
27,3,9,,2021-02-05,ROUTINE,Arrived at Kaitaia College at 12:15. Met with the site manager who reported a recent near-miss in the workshop. Walked the site starting from the main entrance. Observed cluttered storage room blocking access. Noted loose railing on Block A stairwell. the library appears satisfactory. Recommend engaging specialist contractor. Photos taken for record.,COMPLIANT,2,1,COMPLETED
28,3,9,,2022-04-16,ROUTINE,Post-incident inspection at Kaitaia College. Area where incident occurred has been under repair. cluttered storage room blocking access. Interviewed the principal who confirmed awareness of the hazard. Root cause appears to be inadequate training. Immediate controls: equipment isolated. Further investigation: yes - WorkSafe notification pending.,MINOR_NON_COMPLIANCE,1,0,COMPLETED
29,3,11,1.0,2023-04-17,CONTRACTOR_AUDIT,Complaint response visit to Kaitaia College regarding noise from construction work. On inspection found peeling paint near food prep area. uneven surface on playground. Spoke with the principal who was concerned about the situation. Actions: area isolated. Follow-up required: yes - next routine visit.,MINOR_NON_COMPLIANCE,1,0,COMPLETED
30,3,11,,2024-08-01,POST_INCIDENT,Complaint response visit to Kaitaia College regarding noise from construction work. On inspection found uneven surface on playground. trip hazard from raised concrete. Spoke with the principal who was aware of the issue. Actions: repair ordered. Follow-up required: yes - after repair completed.,COMPLIANT,1,1,COMPLETED
31,3,9,,2024-05-17,ROUTINE,Arrived at Kaitaia College at 10:30. Met with the H&S rep who reported a recent near-miss in the workshop. Walked the site starting from the car park. Observed peeling paint near food prep area. Noted missing fire extinguisher sign. the gymnasium appears in need of maintenance. Recommend immediate action on high-risk items. Photos taken for record.,COMPLIANT,0,0,COMPLETED
32,3,10,,2024-06-17,ROUTINE,Arrived at Kaitaia College at 9:45. Met with the principal who reported no issues since last visit. Walked the site starting from Block A. Observed inadequate lighting in car park. Noted inadequate lighting in car park. Block A appears satisfactory. Recommend review at next assessment. Photos taken for record.,COMPLIANT,1,1,COMPLETED
33,3,9,,2025-04-21,ROUTINE,Contractor audit: the contractor on site performing plumbing work. Checked: PPE compliance - compliant with minor exceptions; site induction records - missing for one worker; work method statements - generic - not site-specific. Overall: major non-compliance. Issues noted: SWMS not signed.,MINOR_NON_COMPLIANCE,3,3,COMPLETED
34,4,14,,2020-10-26,ROUTINE,Routine site walkthrough at Whangaroa College. Checked emergency exits - one partially blocked. Fire extinguishers - one missing from hall. First aid kits - needs restocking. Signage - several missing. General housekeeping - poor in storage areas. 2 new hazards logged.,COMPLIANT,3,2,COMPLETED
35,4,13,,2020-04-02,ROUTINE,Post-incident inspection at Whangaroa College. Area where incident occurred has been cordoned off. cluttered storage room blocking access. Interviewed the site manager who confirmed that the issue has been ongoing. Root cause appears to be inadequate training. Immediate controls: equipment isolated. Further investigation: yes - engineering assessment required.,COMPLIANT,1,0,COMPLETED
36,4,14,63.0,2020-04-14,CONTRACTOR_AUDIT,Arrived at Whangaroa College at 9:30. Met with the site manager who reported no issues since last visit. Walked the site starting from the playground. Observed worn anti-slip tape on steps. Noted peeling paint near food prep area. the hall appears in need of maintenance. Recommend immediate action on high-risk items. Photos taken for record.,COMPLIANT,1,0,COMPLETED
37,4,14,,2021-09-06,POST_INCIDENT,Complaint response visit to Whangaroa College regarding unsafe traffic conditions at drop-off. On inspection found mould visible on ceiling tiles. cluttered storage room blocking access. Spoke with the principal who was already arranging repair. Actions: temporary fix applied. Follow-up required: yes - in 14 days.,COMPLIANT,0,0,COMPLETED
38,4,13,,2022-04-21,ROUTINE,Post-incident inspection at Whangaroa College. Area where incident occurred has been cordoned off. uneven surface on playground. Interviewed the H&S rep who confirmed that protocols were followed. Root cause appears to be worn equipment. Immediate controls: equipment isolated. Further investigation: yes - WorkSafe notification pending.,COMPLIANT,3,0,COMPLETED
39,4,14,,2023-05-27,COMPLAINT_RESPONSE,Complaint response visit to Whangaroa College regarding strange smell in classroom. On inspection found loose railing on Block A stairwell. trip hazard from raised concrete. Spoke with the site manager who was unaware until now. Actions: repair ordered. Follow-up required: no.,MINOR_NON_COMPLIANCE,0,0,COMPLETED
40,4,12,,2023-09-12,COMPLAINT_RESPONSE,Arrived at Whangaroa College at 15:30. Met with the caretaker who reported no issues since last visit. Walked the site starting from the car park. Observed bird nesting in roof cavity. Noted blocked emergency exit in hall. the library appears satisfactory. Recommend immediate action on high-risk items. Photos taken for record.,MINOR_NON_COMPLIANCE,2,2,COMPLETED
41,4,13,,2023-02-13,COMPLAINT_RESPONSE,Arrived at Whangaroa College at 13:45. Met with the site manager who reported a concern about the car park. Walked the site starting from Block A. Observed cluttered storage room blocking access. Noted uneven surface on playground. Block A appears in good condition. Recommend immediate action on high-risk items. Photos taken for record.,COMPLIANT,0,0,COMPLETED
42,4,14,,2024-04-03,ROUTINE,Routine site walkthrough at Whangaroa College. Checked emergency exits - clear. Fire extinguishers - all in date. First aid kits - fully stocked. Signage - several missing. General housekeeping - excellent. 2 new hazards logged.,COMPLIANT,2,0,COMPLETED
43,4,13,9.0,2024-09-03,CONTRACTOR_AUDIT,Post-incident inspection at Whangaroa College. Area where incident occurred has been cleaned up. blocked emergency exit in hall. Interviewed the site manager who confirmed that protocols were followed. Root cause appears to be inadequate training. Immediate controls: temporary repair applied. Further investigation: yes - WorkSafe notification pending.,COMPLIANT,3,0,COMPLETED
44,4,12,,2025-06-17,POST_INCIDENT,Post-incident inspection at Whangaroa College. Area where incident occurred has been cordoned off. worn anti-slip tape on steps. Interviewed the site manager who confirmed that the issue has been ongoing. Root cause appears to be worn equipment. Immediate controls: temporary repair applied. Further investigation: yes - engineering assessment required.,COMPLIANT,2,2,COMPLETED
45,5,15,,2020-02-20,COMPLAINT_RESPONSE,Post-incident inspection at Kerikeri High School. Area where incident occurred has been cleaned up. damaged fencing along south boundary. Interviewed the H&S rep who confirmed awareness of the hazard. Root cause appears to be environmental conditions. Immediate controls: area barricaded. Further investigation: yes - engineering assessment required.,MAJOR_NON_COMPLIANCE,0,0,COMPLETED
46,5,17,16.0,2020-07-21,CONTRACTOR_AUDIT,Routine site walkthrough at Kerikeri High School. Checked emergency exits - one partially blocked. Fire extinguishers - all in date. First aid kits - fully stocked. Signage - several missing. General housekeeping - poor in storage areas. 0 new hazards logged.,CRITICAL,1,1,COMPLETED
47,5,15,,2020-11-03,ROUTINE,Complaint response visit to Kerikeri High School regarding unsafe traffic conditions at drop-off. On inspection found missing fire extinguisher sign. cracked window pane in classroom. Spoke with the H&S rep who was aware of the issue. Actions: repair ordered. Follow-up required: yes - after repair completed.,COMPLIANT,0,0,COMPLETED
48,5,16,,2021-09-18,ROUTINE,Complaint response visit to Kerikeri High School regarding strange smell in classroom. On inspection found blocked emergency exit in hall. standing water near entrance pathway. Spoke with the principal who was aware of the issue. Actions: temporary fix applied. Follow-up required: no.,CRITICAL,1,0,COMPLETED
49,5,17,,2021-08-22,POST_INCIDENT,Arrived at Kerikeri High School at 13:45. Met with the H&S rep who reported no issues since last visit. Walked the site starting from the main entrance. Observed loose railing on Block A stairwell. Noted worn anti-slip tape on steps. Block A appears satisfactory. Recommend engaging specialist contractor. Photos taken for record.,COMPLIANT,3,3,COMPLETED
50,5,16,,2022-02-13,COMPLAINT_RESPONSE,Contractor audit: the contractor on site performing painting. Checked: PPE compliance - compliant with minor exceptions; site induction records - missing for one worker; work method statements - provided and adequate. Overall: major non-compliance. Issues noted: no issues.,COMPLIANT,2,0,COMPLETED
51,5,15,,2023-07-27,ROUTINE,Contractor audit: the contractor on site performing grounds maintenance. Checked: PPE compliance - compliant with minor exceptions; site induction records - missing for one worker; work method statements - provided and adequate. Overall: major non-compliance. Issues noted: no issues.,MINOR_NON_COMPLIANCE,2,0,COMPLETED
52,5,16,,2024-07-14,ROUTINE,Post-incident inspection at Kerikeri High School. Area where incident occurred has been cordoned off. standing water near entrance pathway. Interviewed the H&S rep who confirmed that protocols were followed. Root cause appears to be worn equipment. Immediate controls: warning signs placed. Further investigation: no - matter resolved.,MAJOR_NON_COMPLIANCE,3,1,COMPLETED
53,5,15,,2024-05-12,POST_INCIDENT,Arrived at Kerikeri High School at 11:30. Met with the H&S rep who reported a recent near-miss in the workshop. Walked the site starting from the playground. Observed cracked window pane in classroom. Noted damaged fencing along south boundary. the hall appears in good condition. Recommend scheduling maintenance within 30 days. Photos taken for record.,MAJOR_NON_COMPLIANCE,2,0,COMPLETED
54,5,16,,2024-03-26,POST_INCIDENT,Complaint response visit to Kerikeri High School regarding overgrown trees blocking light. On inspection found missing fire extinguisher sign. cluttered storage room blocking access. Spoke with the caretaker who was unaware until now. Actions: temporary fix applied. Follow-up required: yes - in 14 days.,COMPLIANT,2,2,COMPLETED
55,5,15,,2025-07-23,POST_INCIDENT,Arrived at Kerikeri High School at 10:00. Met with the site manager who reported no issues since last visit. Walked the site starting from Block A. Observed uneven surface on playground. Noted peeling paint near food prep area. Block A appears in good condition. Recommend immediate action on high-risk items. Photos taken for record.,COMPLIANT,0,0,COMPLETED
56,6,18,,2020-06-06,POST_INCIDENT,Complaint response visit to Broadwood Area School regarding slippery pathway. On inspection found blocked emergency exit in hall. peeling paint near food prep area. Spoke with the principal who was unaware until now. Actions: temporary fix applied. Follow-up required: yes - in 14 days.,COMPLIANT,2,1,COMPLETED
57,6,21,,2020-11-27,ROUTINE,Arrived at Broadwood Area School at 11:45. Met with the H&S rep who reported no issues since last visit. Walked the site starting from the main entrance. Observed uneven surface on playground. Noted standing water near entrance pathway. the gymnasium appears satisfactory. Recommend immediate action on high-risk items. Photos taken for record.,MINOR_NON_COMPLIANCE,3,0,COMPLETED
58,6,18,,2021-05-16,ROUTINE,Post-incident inspection at Broadwood Area School. Area where incident occurred has been cleaned up. loose railing on Block A stairwell. Interviewed the principal who confirmed awareness of the hazard. Root cause appears to be lack of maintenance. Immediate controls: area barricaded. Further investigation: yes - engineering assessment required.,MINOR_NON_COMPLIANCE,1,1,COMPLETED
59,6,21,,2021-06-23,POST_INCIDENT,Complaint response visit to Broadwood Area School regarding unsafe traffic conditions at drop-off. On inspection found tree branch overhanging walkway. uneven surface on playground. Spoke with the site manager who was unaware until now. Actions: area isolated. Follow-up required: no.,COMPLIANT,2,1,COMPLETED
60,6,21,,2022-08-05,ROUTINE,Arrived at Broadwood Area School at 13:30. Met with the H&S rep who reported a recent near-miss in the workshop. Walked the site starting from the playground. Observed bird nesting in roof cavity. Noted cracked window pane in classroom. the library appears in good condition. Recommend scheduling maintenance within 30 days. Photos taken for record.,MAJOR_NON_COMPLIANCE,1,1,COMPLETED
61,6,19,47.0,2022-09-14,CONTRACTOR_AUDIT,Arrived at Broadwood Area School at 14:30. Met with the H&S rep who reported a concern about the car park. Walked the site starting from the car park. Observed missing fire extinguisher sign. Noted damaged fencing along south boundary. the gymnasium appears showing signs of wear. Recommend engaging specialist contractor. Photos taken for record.,MAJOR_NON_COMPLIANCE,2,0,COMPLETED
62,6,18,,2023-11-12,COMPLAINT_RESPONSE,Complaint response visit to Broadwood Area School regarding water leak from ceiling. On inspection found cluttered storage room blocking access. cracked window pane in classroom. Spoke with the principal who was already arranging repair. Actions: repair ordered. Follow-up required: yes - after repair completed.,MAJOR_NON_COMPLIANCE,0,0,COMPLETED
63,6,20,,2023-05-18,ROUTINE,Complaint response visit to Broadwood Area School regarding slippery pathway. On inspection found missing fire extinguisher sign. mould visible on ceiling tiles. Spoke with the principal who was unaware until now. Actions: repair ordered. Follow-up required: yes - next routine visit.,COMPLIANT,1,0,COMPLETED
64,6,21,91.0,2024-08-17,CONTRACTOR_AUDIT,Routine site walkthrough at Broadwood Area School. Checked emergency exits - clear. Fire extinguishers - one missing from hall. First aid kits - fully stocked. Signage - good. General housekeeping - excellent. 2 new hazards logged.,COMPLIANT,3,2,COMPLETED
65,7,23,91.0,2020-09-05,CONTRACTOR_AUDIT,Routine site walkthrough at Okaihau College. Checked emergency exits - all clear. Fire extinguishers - one missing from hall. First aid kits - low on supplies. Signage - good. General housekeeping - poor in storage areas. 4 new hazards logged.,MINOR_NON_COMPLIANCE,1,0,COMPLETED
66,7,23,5.0,2021-02-08,CONTRACTOR_AUDIT,Arrived at Okaihau College at 9:15. Met with the caretaker who reported no issues since last visit. Walked the site starting from the car park. Observed damaged fencing along south boundary. Noted bird nesting in roof cavity. the gymnasium appears in good condition. Recommend review at next assessment. Photos taken for record.,COMPLIANT,0,0,COMPLETED
67,7,23,,2021-02-20,ROUTINE,Complaint response visit to Okaihau College regarding broken playground equipment. On inspection found cracked window pane in classroom. peeling paint near food prep area. Spoke with the site manager who was concerned about the situation. Actions: repair ordered. Follow-up required: yes - in 14 days.,MINOR_NON_COMPLIANCE,2,1,COMPLETED
68,7,23,,2021-05-05,COMPLAINT_RESPONSE,Contractor audit: the contractor on site performing roof repairs. Checked: PPE compliance - fully compliant; site induction records - expired - updated on site; work method statements - comprehensive. Overall: major non-compliance. Issues noted: work area not adequately fenced.,COMPLIANT,1,1,COMPLETED
69,7,23,,2022-08-14,ROUTINE,Contractor audit: the contractor on site performing electrical maintenance. Checked: PPE compliance - non-compliant - worker on ladder without harness; site induction records - current; work method statements - generic - not site-specific. Overall: major non-compliance. Issues noted: none noted.,MAJOR_NON_COMPLIANCE,1,1,COMPLETED
70,7,24,,2023-09-17,POST_INCIDENT,Complaint response visit to Okaihau College regarding water leak from ceiling. On inspection found tree branch overhanging walkway. worn anti-slip tape on steps. Spoke with the site manager who was aware of the issue. Actions: contractor engaged. Follow-up required: yes - in 14 days.,COMPLIANT,3,3,COMPLETED
71,7,23,16.0,2023-10-08,CONTRACTOR_AUDIT,Contractor audit: Kiwi Electrical Enterprises on site performing painting. Checked: PPE compliance - non-compliant - worker on ladder without harness; site induction records - current; work method statements - provided and adequate. Overall: minor non-compliance. Issues noted: no issues.,MINOR_NON_COMPLIANCE,0,0,COMPLETED
72,7,22,,2023-08-19,ROUTINE,Arrived at Okaihau College at 13:30. Met with the caretaker who reported ongoing roof leak in Block B. Walked the site starting from the car park. Observed trip hazard from raised concrete. Noted damaged fencing along south boundary. the hall appears in need of maintenance. Recommend immediate action on high-risk items. Photos taken for record.,MAJOR_NON_COMPLIANCE,0,0,COMPLETED
73,7,24,,2024-05-07,ROUTINE,Routine site walkthrough at Okaihau College. Checked emergency exits - clear. Fire extinguishers - all current. First aid kits - adequate. Signage - good. General housekeeping - good. 1 new hazards logged.,CRITICAL,3,1,COMPLETED
74,7,23,48.0,2024-09-27,CONTRACTOR_AUDIT,Post-incident inspection at Okaihau College. Area where incident occurred has been cordoned off. worn anti-slip tape on steps. Interviewed the principal who confirmed awareness of the hazard. Root cause appears to be inadequate training. Immediate controls: equipment isolated. Further investigation: yes - await contractor quote.,MINOR_NON_COMPLIANCE,1,0,COMPLETED
75,7,24,,2024-11-26,ROUTINE,Post-incident inspection at Okaihau College. Area where incident occurred has been cleaned up. mould visible on ceiling tiles. Interviewed the caretaker who confirmed that protocols were followed. Root cause appears to be inadequate training. Immediate controls: area barricaded. Further investigation: yes - await contractor quote.,CRITICAL,2,0,COMPLETED
76,7,22,,2025-11-10,ROUTINE,Contractor audit: the contractor on site performing HVAC servicing. Checked: PPE compliance - fully compliant; site induction records - expired - updated on site; work method statements - generic - not site-specific. Overall: compliant. Issues noted: work area not adequately fenced.,MAJOR_NON_COMPLIANCE,2,0,COMPLETED
77,8,25,5.0,2020-06-21,CONTRACTOR_AUDIT,Post-incident inspection at Bay of Islands College. Area where incident occurred has been cleaned up. inadequate lighting in car park. Interviewed the H&S rep who confirmed that the issue has been ongoing. Root cause appears to be lack of maintenance. Immediate controls: temporary repair applied. Further investigation: yes - engineering assessment required.,MINOR_NON_COMPLIANCE,2,2,COMPLETED
78,8,25,,2020-08-13,POST_INCIDENT,Post-incident inspection at Bay of Islands College. Area where incident occurred has been cleaned up. peeling paint near food prep area. Interviewed the caretaker who confirmed awareness of the hazard. Root cause appears to be lack of maintenance. Immediate controls: equipment isolated. Further investigation: yes - WorkSafe notification pending.,COMPLIANT,0,0,COMPLETED
79,8,27,,2020-10-04,ROUTINE,Arrived at Bay of Islands College at 15:15. Met with the site manager who reported a concern about the car park. Walked the site starting from the playground. Observed worn anti-slip tape on steps. Noted mould visible on ceiling tiles. the library appears in need of maintenance. Recommend engaging specialist contractor. Photos taken for record.,COMPLIANT,2,1,COMPLETED
80,8,26,,2021-04-13,POST_INCIDENT,Routine site walkthrough at Bay of Islands College. Checked emergency exits - clear. Fire extinguishers - all in date. First aid kits - adequate. Signage - faded in places. General housekeeping - satisfactory. 1 new hazards logged.,COMPLIANT,2,2,COMPLETED
81,8,25,27.0,2022-05-08,CONTRACTOR_AUDIT,Arrived at Bay of Islands College at 8:15. Met with the caretaker who reported no issues since last visit. Walked the site starting from the car park. Observed mould visible on ceiling tiles. Noted cracked window pane in classroom. Block A appears satisfactory. Recommend scheduling maintenance within 30 days. Photos taken for record.,MAJOR_NON_COMPLIANCE,0,0,COMPLETED
82,8,26,,2023-05-27,POST_INCIDENT,Routine site walkthrough at Bay of Islands College. Checked emergency exits - all clear. Fire extinguishers - one missing from hall. First aid kits - needs restocking. Signage - faded in places. General housekeeping - excellent. 1 new hazards logged.,COMPLIANT,0,0,COMPLETED
83,8,25,,2023-07-27,ROUTINE,Arrived at Bay of Islands College at 13:00. Met with the site manager who reported a recent near-miss in the workshop. Walked the site starting from the playground. Observed cracked window pane in classroom. Noted standing water near entrance pathway. Block A appears showing signs of wear. Recommend engaging specialist contractor. Photos taken for record.,MINOR_NON_COMPLIANCE,2,1,COMPLETED
84,8,27,,2024-10-18,ROUTINE,Post-incident inspection at Bay of Islands College. Area where incident occurred has been under repair. blocked emergency exit in hall. Interviewed the site manager who confirmed the timeline of events. Root cause appears to be worn equipment. Immediate controls: temporary repair applied. Further investigation: yes - engineering assessment required.,COMPLIANT,2,2,COMPLETED
85,8,26,,2024-07-04,COMPLAINT_RESPONSE,Complaint response visit to Bay of Islands College regarding noise from construction work. On inspection found standing water near entrance pathway. cracked window pane in classroom. Spoke with the principal who was aware of the issue. Actions: temporary fix applied. Follow-up required: no.,COMPLIANT,3,1,COMPLETED
86,8,25,,2025-06-07,POST_INCIDENT,Arrived at Bay of Islands College at 13:30. Met with the H&S rep who reported ongoing roof leak in Block B. Walked the site starting from the playground. Observed trip hazard from raised concrete. Noted blocked emergency exit in hall. the hall appears in good condition. Recommend immediate action on high-risk items. Photos taken for record.,MINOR_NON_COMPLIANCE,2,2,COMPLETED
87,9,28,,2020-07-13,ROUTINE,Arrived at Northland College at 15:15. Met with the caretaker who reported ongoing roof leak in Block B. Walked the site starting from the main entrance. Observed blocked emergency exit in hall. Noted inadequate lighting in car park. the gymnasium appears satisfactory. Recommend engaging specialist contractor. Photos taken for record.,COMPLIANT,0,0,COMPLETED
88,9,30,,2020-05-02,POST_INCIDENT,Arrived at Northland College at 14:30. Met with the principal who reported ongoing roof leak in Block B. Walked the site starting from the main entrance. Observed cracked window pane in classroom. Noted standing water near entrance pathway. the hall appears satisfactory. Recommend engaging specialist contractor. Photos taken for record.,MINOR_NON_COMPLIANCE,2,0,COMPLETED
89,9,30,,2020-06-14,COMPLAINT_RESPONSE,Complaint response visit to Northland College regarding strange smell in classroom. On inspection found missing fire extinguisher sign. cracked window pane in classroom. Spoke with the site manager who was aware of the issue. Actions: area isolated. Follow-up required: yes - next routine visit.,COMPLIANT,3,3,COMPLETED
90,9,31,68.0,2021-03-23,CONTRACTOR_AUDIT,Arrived at Northland College at 15:30. Met with the principal who reported no issues since last visit. Walked the site starting from the car park. Observed missing fire extinguisher sign. Noted worn anti-slip tape on steps. Block A appears showing signs of wear. Recommend review at next assessment. Photos taken for record.,MAJOR_NON_COMPLIANCE,2,2,COMPLETED
